WL,Al,WL,Cr,WL,Cu,WL,Au
365.48223,0.42055,365.48223,0.46175,365.48223,0.39885,365.48223,0.41733
365.56291,0.44456,365.56291,0.46094,365.56291,0.39836,365.56291,0.41759
365.64363,0.47043,365.64363,0.46016,365.64363,0.39788,365.64363,0.41787
365.72438,0.49816,365.72438,0.45941,365.72438,0.39743,365.72438,0.41819
365.80517,0.52773,365.80517,0.45869,365.80517,0.397,365.80517,0.41855
365.88599,0.55903,365.88599,0.45799,365.88599,0.39659,365.88599,0.41894
365.96685,0.5919,365.96685,0.45732,365.96685,0.39621,365.96685,0.41937
366.04775,0.6261,366.04775,0.45667,366.04775,0.39584,366.04775,0.41984
366.12868,0.6613,366.12868,0.45605,366.12868,0.3955,366.12868,0.42034
366.20964,0.69708,366.20964,0.45546,366.20964,0.39518,366.20964,0.42088
366.29064,0.73294,366.29064,0.45489,366.29064,0.39488,366.29064,0.42146
366.37168,0.76831,366.37168,0.45435,366.37168,0.39461,366.37168,0.42208
366.45276,0.80254,366.45276,0.45383,366.45276,0.39435,366.45276,0.42274
366.53386,0.83498,366.53386,0.45334,366.53386,0.39412,366.53386,0.42344
366.61501,0.86497,366.61501,0.45287,366.61501,0.39391,366.61501,0.42418
366.69619,0.89192,366.69619,0.45243,366.69619,0.39372,366.69619,0.42496
366.77741,0.9153,366.77741,0.45202,366.77741,0.39356,366.77741,0.42578
366.85866,0.93471,366.85866,0.45163,366.85866,0.39341,366.85866,0.42665
366.93995,0.94989,366.93995,0.45127,366.93995,0.39329,366.93995,0.42756
367.02128,0.96072,367.02128,0.45094,367.02128,0.3932,367.02128,0.42852
367.10264,0.96725,367.10264,0.45063,367.10264,0.39313,367.10264,0.42952
367.18404,0.96965,367.18404,0.45034,367.18404,0.39308,367.18404,0.43057
367.26547,0.96821,367.26547,0.45008,367.26547,0.39305,367.26547,0.43167
367.34694,0.96331,367.34694,0.44985,367.34694,0.39305,367.34694,0.43281
367.42844,0.95536,367.42844,0.44964,367.42844,0.39307,367.42844,0.43401
367.50999,0.94483,367.50999,0.44946,367.50999,0.39311,367.50999,0.43526
367.59156,0.93218,367.59156,0.44931,367.59156,0.39318,367.59156,0.43655
367.67318,0.91783,367.67318,0.44918,367.67318,0.39327,367.67318,0.43791
367.75483,0.90219,367.75483,0.44908,367.75483,0.39339,367.75483,0.43931
367.83652,0.88563,367.83652,0.449,367.83652,0.39354,367.83652,0.44077
367.91824,0.86846,367.91824,0.44896,367.91824,0.3937,367.91824,0.44229
368,0.85097,368,0.44893,368,0.3939,368,0.44386
368.0818,0.83338,368.0818,0.44894,368.0818,0.39412,368.0818,0.44549
368.16363,0.81587,368.16363,0.44897,368.16363,0.39436,368.16363,0.44718
368.2455,0.7986,368.2455,0.44903,368.2455,0.39464,368.2455,0.44894
368.3274,0.78168,368.3274,0.44911,368.3274,0.39493,368.3274,0.45075
368.40934,0.76521,368.40934,0.44923,368.40934,0.39526,368.40934,0.45264
368.49132,0.74924,368.49132,0.44937,368.49132,0.39561,368.49132,0.45458
368.57334,0.73384,368.57334,0.44953,368.57334,0.39599,368.57334,0.4566
368.65539,0.71902,368.65539,0.44973,368.65539,0.3964,368.65539,0.45868
368.73747,0.70481,368.73747,0.44995,368.73747,0.39684,368.73747,0.46083
368.8196,0.69121,368.8196,0.45021,368.8196,0.3973,368.8196,0.46306
368.90176,0.67823,368.90176,0.45049,368.90176,0.3978,368.90176,0.46536
368.98396,0.66585,368.98396,0.4508,368.98396,0.39832,368.98396,0.46774
369.06619,0.65407,369.06619,0.45114,369.06619,0.39888,369.06619,0.47019
369.14846,0.64287,369.14846,0.4515,369.14846,0.39946,369.14846,0.47272
369.23077,0.63223,369.23077,0.4519,369.23077,0.40008,369.23077,0.47534
369.31311,0.62213,369.31311,0.45233,369.31311,0.40072,369.31311,0.47804
369.39549,0.61256,369.39549,0.45278,369.39549,0.4014,369.39549,0.48082
369.47791,0.6035,369.47791,0.45327,369.47791,0.40212,369.47791,0.48369
369.56037,0.59492,369.56037,0.45379,369.56037,0.40286,369.56037,0.48665
369.64286,0.5868,369.64286,0.45434,369.64286,0.40364,369.64286,0.48971
369.72539,0.57913,369.72539,0.45492,369.72539,0.40445,369.72539,0.49285
369.80795,0.57189,369.80795,0.45553,369.80795,0.4053,369.80795,0.4961
369.89055,0.56505,369.89055,0.45617,369.89055,0.40618,369.89055,0.49944
369.97319,0.55861,369.97319,0.45685,369.97319,0.4071,369.97319,0.50289
370.05587,0.55254,370.05587,0.45755,370.05587,0.40805,370.05587,0.50644
370.13858,0.54683,370.13858,0.45829,370.13858,0.40904,370.13858,0.51009
370.22133,0.54146,370.22133,0.45907,370.22133,0.41007,370.22133,0.51386
370.30411,0.53642,370.30411,0.45988,370.30411,0.41114,370.30411,0.51774
370.38694,0.5317,370.38694,0.46072,370.38694,0.41225,370.38694,0.52173
370.4698,0.52728,370.4698,0.4616,370.4698,0.4134,370.4698,0.52584
370.5527,0.52316,370.5527,0.46251,370.5527,0.41459,370.5527,0.53006
370.63563,0.51932,370.63563,0.46345,370.63563,0.41582,370.63563,0.53441
370.7186,0.51575,370.7186,0.46444,370.7186,0.41709,370.7186,0.53889
370.80161,0.51244,370.80161,0.46546,370.80161,0.41841,370.80161,0.5435
370.88466,0.50939,370.88466,0.46651,370.88466,0.41977,370.88466,0.54823
370.96774,0.50658,370.96774,0.46761,370.96774,0.42117,370.96774,0.5531
371.05086,0.50402,371.05086,0.46874,371.05086,0.42263,371.05086,0.55811
371.13402,0.50169,371.13402,0.46991,371.13402,0.42413,371.13402,0.56325
