Wavelength (nm),0 deg,14 deg,28 deg,42 deg,56 deg,70 deg,84 deg
366.29064,0.39655,0.40883,0.41794,0.42701,0.43111,0.43348,0.4249
366.37168,0.39626,0.40843,0.41745,0.42644,0.43055,0.43288,0.42398
366.45276,0.39598,0.40806,0.417,0.42592,0.43005,0.43233,0.42313
366.53386,0.39573,0.40772,0.41659,0.42543,0.42959,0.43184,0.42233
366.61501,0.3955,0.40741,0.41621,0.425,0.42919,0.43141,0.42159
366.69619,0.3953,0.40713,0.41587,0.42461,0.42883,0.43103,0.42092
366.77741,0.39511,0.40688,0.41557,0.42426,0.42853,0.43071,0.42031
366.85866,0.39495,0.40667,0.41531,0.42396,0.42828,0.43045,0.41977
366.93995,0.39481,0.40649,0.41509,0.4237,0.42808,0.43025,0.4193
367.02128,0.39469,0.40634,0.4149,0.42349,0.42794,0.43011,0.41891
367.10264,0.3946,0.40622,0.41475,0.42332,0.42785,0.43003,0.41858
367.18404,0.39452,0.40613,0.41463,0.4232,0.42781,0.43002,0.41833
367.26547,0.39448,0.40607,0.41456,0.42313,0.42783,0.43007,0.41816
367.34694,0.39445,0.40605,0.41452,0.4231,0.42791,0.4302,0.41807
367.42844,0.39445,0.40606,0.41452,0.42312,0.42804,0.43038,0.41807
367.50999,0.39447,0.4061,0.41456,0.42319,0.42824,0.43064,0.41816
367.59156,0.39452,0.40617,0.41463,0.42331,0.42849,0.43098,0.41833
367.67318,0.39459,0.40627,0.41475,0.42348,0.4288,0.43138,0.4186
367.75483,0.39468,0.40641,0.4149,0.4237,0.42918,0.43186,0.41897
367.83652,0.3948,0.40658,0.4151,0.42397,0.42962,0.43242,0.41943
367.91824,0.39494,0.40678,0.41533,0.42429,0.43012,0.43306,0.42
368,0.39511,0.40701,0.41561,0.42466,0.4307,0.43379,0.42068
368.0818,0.3953,0.40728,0.41592,0.42509,0.43134,0.4346,0.42147
368.16363,0.39552,0.40758,0.41628,0.42557,0.43204,0.43549,0.42237
368.2455,0.39576,0.40791,0.41667,0.42611,0.43282,0.43648,0.42339
368.3274,0.39603,0.40828,0.41711,0.4267,0.43368,0.43756,0.42452
368.40934,0.39633,0.40869,0.4176,0.42735,0.43461,0.43874,0.42578
368.49132,0.39665,0.40913,0.41812,0.42805,0.43561,0.44001,0.42717
368.57334,0.397,0.4096,0.41869,0.42882,0.43669,0.44139,0.42868
368.65539,0.39737,0.41011,0.41931,0.42965,0.43786,0.44287,0.43032
368.73747,0.39778,0.41066,0.41997,0.43054,0.43911,0.44447,0.43208
368.8196,0.39821,0.41124,0.42067,0.43149,0.44044,0.44617,0.43397
368.90176,0.39867,0.41187,0.42143,0.43251,0.44186,0.448,0.43598
368.98396,0.39916,0.41252,0.42223,0.43359,0.44337,0.44994,0.43811
369.06619,0.39968,0.41322,0.42308,0.43474,0.44498,0.45201,0.44036
369.14846,0.40022,0.41396,0.42398,0.43597,0.44668,0.45421,0.44272
369.23077,0.4008,0.41474,0.42493,0.43726,0.44848,0.45654,0.44517
369.31311,0.40141,0.41555,0.42593,0.43862,0.45038,0.45901,0.44771
369.39549,0.40204,0.41641,0.42698,0.44006,0.45239,0.46162,0.45032
369.47791,0.40271,0.41731,0.42809,0.44157,0.4545,0.46438,0.45299
369.56037,0.40341,0.41825,0.42926,0.44317,0.45673,0.46728,0.45569
369.64286,0.40415,0.41924,0.43047,0.44484,0.45907,0.47035,0.4584
369.72539,0.40491,0.42027,0.43175,0.4466,0.46152,0.47357,0.4611
369.80795,0.40571,0.42134,0.43308,0.44844,0.4641,0.47696,0.46375
369.89055,0.40655,0.42246,0.43448,0.45036,0.46681,0.48053,0.46632
369.97319,0.40741,0.42363,0.43593,0.45238,0.46964,0.48426,0.46878
370.05587,0.40832,0.42484,0.43745,0.45448,0.47261,0.48818,0.47108
370.13858,0.40925,0.42611,0.43903,0.45669,0.47571,0.49228,0.4732
370.22133,0.41023,0.42742,0.44068,0.45898,0.47896,0.49657,0.47509
370.30411,0.41124,0.42879,0.4424,0.46138,0.48235,0.50105,0.47671
370.38694,0.41229,0.4302,0.44418,0.46388,0.48589,0.50572,0.47803
370.4698,0.41337,0.43167,0.44603,0.46648,0.48959,0.5106,0.47901
370.5527,0.4145,0.43319,0.44796,0.46919,0.49344,0.51567,0.47963
