WL,Inf. Array,3x3,12x12,6x6,27x27
436.24868,0.60272,0.614,0.60562,0.60138,0.6277
436.36364,0.59163,0.60272,0.59487,0.59068,0.61657
436.47865,0.58073,0.59163,0.58431,0.58018,0.60562
436.59373,0.57002,0.58073,0.57394,0.56986,0.59487
436.70886,0.55949,0.57002,0.56376,0.55974,0.58431
436.82406,0.54917,0.55949,0.55377,0.54981,0.57394
436.93931,0.53904,0.54917,0.54396,0.54006,0.56376
437.05463,0.52911,0.53904,0.53434,0.5305,0.55377
437.17001,0.51937,0.52911,0.52489,0.52111,0.54396
437.28545,0.50984,0.51937,0.51562,0.51189,0.53434
437.40095,0.50051,0.50984,0.50651,0.50284,0.52489
437.51651,0.49138,0.50051,0.49755,0.49394,0.51562
437.63214,0.48245,0.49138,0.48875,0.48518,0.50651
437.74782,0.47373,0.48245,0.48008,0.47656,0.49755
437.86356,0.4652,0.47373,0.47154,0.46806,0.48875
437.97937,0.45689,0.4652,0.46311,0.45967,0.48008
438.09524,0.44877,0.45689,0.45479,0.45138,0.47154
438.21117,0.44086,0.44877,0.44655,0.44317,0.46311
438.32716,0.43315,0.44086,0.43839,0.43503,0.45479
438.44321,0.42565,0.43315,0.43028,0.42694,0.44655
438.55932,0.41836,0.42565,0.42221,0.41888,0.43839
438.6755,0.41128,0.41836,0.41416,0.41084,0.43028
438.79173,0.4044,0.41128,0.40611,0.40279,0.42221
438.90803,0.39774,0.4044,0.39806,0.39472,0.41416
439.02439,0.3913,0.39774,0.38998,0.38664,0.40611
439.14081,0.38506,0.3913,0.38188,0.37853,0.39806
439.25729,0.37905,0.38506,0.37377,0.37042,0.38998
439.37384,0.37326,0.37905,0.36569,0.36237,0.38188
439.49045,0.36768,0.37326,0.35772,0.35446,0.37377
439.60711,0.36234,0.36768,0.34997,0.34685,0.36569
439.72384,0.35721,0.36234,0.34267,0.33978,0.35772
439.84064,0.35232,0.35721,0.33609,0.33358,0.34997
439.95749,0.34766,0.35232,0.33062,0.32866,0.34267
440.07441,0.34323,0.34766,0.3267,0.32544,0.33609
440.19139,0.33903,0.34323,0.32471,0.32427,0.33062
440.30843,0.33507,0.33903,0.32488,0.32526,0.3267
440.42553,0.33134,0.33507,0.3271,0.32816,0.32471
440.5427,0.32786,0.33134,0.33093,0.33241,0.32488
440.65993,0.32461,0.32786,0.33565,0.33726,0.3271
440.77722,0.32159,0.32461,0.34051,0.34198,0.33093
440.89457,0.31881,0.32159,0.34489,0.34605,0.33565
441.01198,0.31627,0.31881,0.3484,0.34918,0.34051
441.12946,0.31397,0.31627,0.35091,0.35132,0.34489
441.247,0.31189,0.31397,0.35244,0.35251,0.3484
441.36461,0.31004,0.31189,0.35309,0.35289,0.35091
441.48227,0.30842,0.31004,0.35303,0.35262,0.35244
441.6,0.30702,0.30842,0.35239,0.35183,0.35309
441.71779,0.30583,0.30702,0.35133,0.35066,0.35303
441.83565,0.30486,0.30583,0.34994,0.34921,0.35239
441.95356,0.30409,0.30486,0.34833,0.34757,0.35133
442.07154,0.30352,0.30409,0.34657,0.34579,0.34994
442.18959,0.30314,0.30352,0.34471,0.34394,0.34833
442.30769,0.30295,0.30314,0.3428,0.34204,0.34657
442.42586,0.30293,0.30295,0.34087,0.34014,0.34471
442.54409,0.30309,0.30293,0.33894,0.33825,0.3428
442.66239,0.3034,0.30309,0.33704,0.33639,0.34087
442.78075,0.30387,0.3034,0.33519,0.33457,0.33894
442.89917,0.30448,0.30387,0.33338,0.33281,0.33704
443.01766,0.30523,0.30448,0.33163,0.33111,0.33519
443.13621,0.3061,0.30523,0.32995,0.32948,0.33338
443.25482,0.30709,0.3061,0.32835,0.32793,0.33163
443.37349,0.30819,0.30709,0.32681,0.32644,0.32995
443.49223,0.30939,0.30819,0.32536,0.32504,0.32835
443.61104,0.31068,0.30939,0.32399,0.32372,0.32681
443.7299,0.31206,0.31068,0.3227,0.32248,0.32536
443.84883,0.3135,0.31206,0.32149,0.32132,0.32399
443.96783,0.31502,0.3135,0.32037,0.32025,0.3227
444.08689,0.3166,0.31502,0.31933,0.31926,0.32149
444.20601,0.31822,0.3166,0.31838,0.31835,0.32037
444.32519,0.3199,0.31822,0.31752,0.31753,0.31933
444.44444,0.32161,0.3199,0.31674,0.3168,0.31838
444.56376,0.32336,0.32161,0.31605,0.31616,0.31752
444.68314,0.32513,0.32336,0.31545,0.3156,0.31674
444.80258,0.32692,0.32513,0.31494,0.31513,0.31605
444.92208,0.32874,0.32692,0.31451,0.31475,0.31545
445.04166,0.33056,0.32874,0.31418,0.31446,0.31494
445.16129,0.33239,0.33056,0.31393,0.31426,0.31451
445.28099,0.33423,0.33239,0.31378,0.31415,0.31418
445.40075,0.33607,0.33423,0.31371,0.31413,0.31393
