Wavelength (nm),0 Deg,14 Deg,28 Deg,42 Deg,56 Deg,70 Deg,84 Deg
366.20964,0.39687,0.40442,0.41427,0.39195,0.40723,0.47074,0.46271
366.29064,0.39655,0.40437,0.41178,0.39154,0.40703,0.46685,0.4993
366.37168,0.39626,0.40434,0.40921,0.39115,0.40685,0.46312,0.54489
366.45276,0.39598,0.40435,0.40661,0.39078,0.4067,0.45958,0.59461
366.53386,0.39573,0.40439,0.40401,0.39044,0.40658,0.45624,0.64349
366.61501,0.3955,0.40445,0.40145,0.39013,0.40648,0.45311,0.68796
366.69619,0.3953,0.40456,0.39895,0.38983,0.4064,0.45021,0.72626
366.77741,0.39511,0.40469,0.39654,0.38957,0.40635,0.44754,0.75801
366.85866,0.39495,0.40486,0.39423,0.38932,0.40633,0.4451,0.78363
366.93995,0.39481,0.40506,0.39203,0.3891,0.40633,0.4429,0.80384
367.02128,0.39469,0.4053,0.38996,0.38891,0.40636,0.44094,0.81937
367.10264,0.3946,0.40557,0.38801,0.38873,0.40642,0.43921,0.83088
367.18404,0.39452,0.40588,0.38619,0.38858,0.4065,0.43772,0.83892
367.26547,0.39448,0.40622,0.38449,0.38846,0.40661,0.43646,0.84391
367.34694,0.39445,0.40661,0.38291,0.38836,0.40675,0.43543,0.84618
367.42844,0.39445,0.40703,0.38146,0.38828,0.40691,0.43463,0.84605
367.50999,0.39447,0.4075,0.38011,0.38823,0.40711,0.43404,0.84374
367.59156,0.39452,0.408,0.37887,0.3882,0.40733,0.43367,0.83951
367.67318,0.39459,0.40855,0.37774,0.38819,0.40758,0.4335,0.83357
367.75483,0.39468,0.40914,0.37669,0.38821,0.40785,0.43355,0.82616
367.83652,0.3948,0.40977,0.37574,0.38825,0.40816,0.43379,0.81749
367.91824,0.39494,0.41045,0.37487,0.38832,0.4085,0.43423,0.8078
368,0.39511,0.41118,0.37408,0.38841,0.40886,0.43487,0.79731
368.0818,0.3953,0.41196,0.37337,0.38853,0.40926,0.43569,0.78623
368.16363,0.39552,0.41278,0.37272,0.38866,0.40968,0.43669,0.77478
368.2455,0.39576,0.41366,0.37214,0.38883,0.41014,0.43788,0.76314
368.3274,0.39603,0.41459,0.37162,0.38902,0.41062,0.43926,0.75149
368.40934,0.39633,0.41557,0.37116,0.38923,0.41114,0.44081,0.73999
368.49132,0.39665,0.41662,0.37075,0.38947,0.41169,0.44254,0.72877
368.57334,0.397,0.41772,0.37039,0.38973,0.41227,0.44445,0.71796
368.65539,0.39737,0.41888,0.37008,0.39002,0.41289,0.44654,0.70764
368.73747,0.39778,0.42011,0.36982,0.39033,0.41353,0.44881,0.6979
368.8196,0.39821,0.4214,0.3696,0.39067,0.41421,0.45127,0.6888
368.90176,0.39867,0.42276,0.36942,0.39103,0.41493,0.45392,0.68039
368.98396,0.39916,0.42419,0.36928,0.39142,0.41567,0.45675,0.67269
369.06619,0.39968,0.42569,0.36918,0.39184,0.41645,0.45979,0.66573
369.14846,0.40022,0.42727,0.36912,0.39228,0.41727,0.46303,0.65951
369.23077,0.4008,0.42893,0.3691,0.39275,0.41812,0.46648,0.65405
369.31311,0.40141,0.43067,0.3691,0.39325,0.41901,0.47015,0.64934
369.39549,0.40204,0.4325,0.36915,0.39377,0.41994,0.47405,0.64537
369.47791,0.40271,0.43442,0.36922,0.39432,0.4209,0.4782,0.64212
369.56037,0.40341,0.43644,0.36933,0.39489,0.4219,0.4826,0.63959
369.64286,0.40415,0.43855,0.36946,0.3955,0.42293,0.48728,0.63776
369.72539,0.40491,0.44077,0.36963,0.39613,0.42401,0.49225,0.63661
369.80795,0.40571,0.44309,0.36983,0.39679,0.42512,0.49752,0.63612
369.89055,0.40655,0.44553,0.37006,0.39748,0.42628,0.50313,0.63627
369.97319,0.40741,0.44808,0.37032,0.3982,0.42747,0.5091,0.63706
370.05587,0.40832,0.45076,0.3706,0.39895,0.42871,0.51545,0.63845
370.13858,0.40925,0.45356,0.37092,0.39972,0.42998,0.52222,0.64043
370.22133,0.41023,0.45651,0.37126,0.40053,0.4313,0.52944,0.64299
370.30411,0.41124,0.45959,0.37163,0.40137,0.43267,0.53715,0.64611
370.38694,0.41229,0.46282,0.37203,0.40224,0.43408,0.5454,0.64977
370.4698,0.41337,0.46621,0.37246,0.40314,0.43553,0.55423,0.65397
370.5527,0.4145,0.46976,0.37292,0.40407,0.43702,0.5637,0.65868
370.63563,0.41567,0.47349,0.3734,0.40503,0.43857,0.57386,0.6639
370.7186,0.41687,0.47739,0.37391,0.40603,0.44016,0.58477,0.66961
370.80161,0.41812,0.48148,0.37446,0.40706,0.44179,0.5965,0.67579
370.88466,0.41941,0.48577,0.37503,0.40812,0.44348,0.60911,0.68244
370.96774,0.42075,0.49026,0.37562,0.40922,0.44522,0.62265,0.68955
371.05086,0.42212,0.49496,0.37625,0.41035,0.447,0.63718,0.69709
371.13402,0.42354,0.49989,0.37691,0.41152,0.44884,0.65271,0.70505
371.21722,0.42501,0.50504,0.37759,0.41272,0.45073,0.66924,0.71343
