Wavelength (nm),Ring,Ring,Trophozoite,Schizont
370.22133,0.41007,0.42125,0.43337,0.4503
370.30411,0.41114,0.42179,0.43334,0.44983
370.38694,0.41225,0.42236,0.43334,0.44938
370.4698,0.4134,0.42297,0.43337,0.44896
370.5527,0.41459,0.4236,0.43342,0.44856
370.63563,0.41582,0.42426,0.43349,0.44818
370.7186,0.41709,0.42495,0.4336,0.44783
370.80161,0.41841,0.42567,0.43372,0.4475
370.88466,0.41977,0.42642,0.43388,0.44719
370.96774,0.42117,0.4272,0.43406,0.4469
371.05086,0.42263,0.42801,0.43427,0.44663
371.13402,0.42413,0.42886,0.43451,0.44639
371.21722,0.42567,0.42974,0.43478,0.44618
371.30045,0.42727,0.43066,0.43507,0.44598
371.38372,0.42892,0.43161,0.4354,0.44581
371.46703,0.43061,0.43259,0.43575,0.44566
371.55037,0.43237,0.43362,0.43613,0.44554
371.63375,0.43417,0.43467,0.43655,0.44544
371.71717,0.43603,0.43577,0.43699,0.44537
371.80063,0.43794,0.43691,0.43746,0.44531
371.88412,0.43991,0.43808,0.43797,0.44529
371.96765,0.44195,0.4393,0.43851,0.44529
372.05122,0.44404,0.44055,0.43908,0.44531
372.13483,0.44619,0.44185,0.43968,0.44536
372.21848,0.4484,0.44319,0.44032,0.44544
372.30216,0.45068,0.44457,0.44099,0.44554
372.38588,0.45302,0.446,0.44169,0.44567
372.46964,0.45543,0.44748,0.44244,0.44583
372.55343,0.45791,0.449,0.44321,0.44601
372.63726,0.46046,0.45057,0.44403,0.44622
372.72113,0.46308,0.45219,0.44488,0.44646
372.80504,0.46578,0.45386,0.44577,0.44672
372.88899,0.46855,0.45559,0.44669,0.44702
372.97297,0.4714,0.45736,0.44766,0.44734
373.05699,0.47432,0.45919,0.44867,0.4477
373.14105,0.47733,0.46108,0.44971,0.44808
373.22515,0.48042,0.46302,0.4508,0.44849
373.30929,0.4836,0.46502,0.45193,0.44894
373.39346,0.48686,0.46708,0.45311,0.44941
373.47767,0.49021,0.4692,0.45433,0.44992
373.56192,0.49365,0.47139,0.45559,0.45046
373.64621,0.49718,0.47364,0.4569,0.45103
373.73053,0.50081,0.47595,0.45826,0.45163
373.8149,0.50453,0.47833,0.45967,0.45227
373.8993,0.50836,0.48079,0.46112,0.45295
373.98374,0.51228,0.48331,0.46263,0.45366
374.06822,0.51631,0.48591,0.46419,0.4544
374.15273,0.52045,0.48858,0.4658,0.45518
374.23729,0.52469,0.49132,0.46746,0.456
374.32188,0.52905,0.49415,0.46918,0.45685
374.40651,0.53352,0.49706,0.47095,0.45775
374.49118,0.5381,0.50005,0.47278,0.45868
374.57589,0.54281,0.50312,0.47467,0.45966
374.66063,0.54763,0.50628,0.47662,0.46067
374.74542,0.55257,0.50954,0.47863,0.46173
374.83024,0.55764,0.51288,0.48071,0.46282
374.9151,0.56284,0.51631,0.48284,0.46397
375,0.56817,0.51985,0.48505,0.46515
375.08494,0.57363,0.52348,0.48732,0.46638
375.16991,0.57922,0.52721,0.48966,0.46766
375.25493,0.58495,0.53104,0.49207,0.46899
375.33998,0.59082,0.53498,0.49456,0.47036
375.42507,0.59683,0.53903,0.49711,0.47178
375.5102,0.60298,0.54319,0.49975,0.47325
375.59537,0.60927,0.54746,0.50246,0.47478
375.68058,0.61571,0.55185,0.50525,0.47635
375.76583,0.6223,0.55635,0.50812,0.47799
375.85111,0.62903,0.56098,0.51108,0.47967
375.93644,0.63591,0.56573,0.51412,0.48141
376.0218,0.64294,0.57061,0.51725,0.48322
376.1072,0.65012,0.57562,0.52046,0.48507
376.19264,0.65745,0.58075,0.52377,0.48699
376.27812,0.66493,0.58602,0.52718,0.48898
376.36364,0.67255,0.59143,0.53068,0.49102
376.44919,0.68033,0.59697,0.53427,0.49313
376.53479,0.68824,0.60266,0.53797,0.49531
376.62042,0.6963,0.60849,0.54177,0.49755
376.7061,0.7045,0.61446,0.54568,0.49987
376.79181,0.71283,0.62058,0.54969,0.50225
376.87756,0.7213,0.62685,0.55381,0.50471
376.96335,0.72989,0.63327,0.55805,0.50725
377.04918,0.73861,0.63984,0.5624,0.50986
377.13505,0.74744,0.64656,0.56686,0.51255
377.22096,0.75637,0.65343,0.57145,0.51532
377.3069,0.7654,0.66046,0.57616,0.51817
377.39289,0.77453,0.66764,0.58099,0.52111
377.47891,0.78373,0.67497,0.58594,0.52413
377.56498,0.79299,0.68246,0.59103,0.52725
377.65108,0.80232,0.69009,0.59625,0.53045
377.73723,0.81168,0.69788,0.6016,0.53375
377.82341,0.82106,0.7058,0.60708,0.53714
377.90963,0.83045,0.71388,0.6127,0.54063
377.99589,0.83984,0.72209,0.61846,0.54422
378.08219,0.84919,0.73043,0.62436,0.54791
378.16853,0.85849,0.73891,0.6304,0.5517
378.25491,0.86772,0.74751,0.63659,0.5556
378.34133,0.87685,0.75622,0.64292,0.55961
378.42779,0.88587,0.76504,0.64939,0.56373
378.51429,0.89474,0.77395,0.65601,0.56797
378.60082,0.90343,0.78295,0.66277,0.57232
378.6874,0.91193,0.79203,0.66968,0.57679
378.77402,0.9202,0.80117,0.67673,0.58138
378.86067,0.92821,0.81036,0.68393,0.58609
378.94737,0.93594,0.81958,0.69127,0.59093
379.0341,0.94334,0.82881,0.69875,0.5959
379.12088,0.9504,0.83804,0.70637,0.60099
379.20769,0.95708,0.84724,0.71412,0.60622
379.29455,0.96335,0.8564,0.72201,0.61158
379.38144,0.96918,0.86549,0.73001,0.61707
379.46838,0.97454,0.87448,0.73814,0.6227
379.55535,0.97941,0.88336,0.74639,0.62847
379.64237,0.98375,0.89209,0.75474,0.63438
379.72942,0.98755,0.90065,0.76318,0.64042
379.81651,0.99078,0.90901,0.77172,0.64661
379.90365,0.99342,0.91713,0.78034,0.65294
379.99082,0.99546,0.92498,0.78902,0.65941
380.07804,0.99687,0.93254,0.79776,0.66603
380.16529,0.99764,0.93977,0.80654,0.67278
380.25258,0.99777,0.94664,0.81534,0.67967
380.33992,0.99725,0.95312,0.82416,0.6867
380.42729,0.99607,0.95918,0.83296,0.69386
380.51471,0.99425,0.96477,0.84174,0.70116
380.60216,0.99177,0.96989,0.85046,0.70859
380.68966,0.98865,0.97448,0.85911,0.71614
380.77719,0.98489,0.97854,0.86767,0.72381
380.86477,0.98052,0.98203,0.87611,0.7316
380.95238,0.97555,0.98493,0.8844,0.73949
381.04004,0.97,0.98722,0.89252,0.74748
381.12773,0.96388,0.98888,0.90043,0.75556
381.21547,0.95723,0.9899,0.90812,0.76373
381.30325,0.95008,0.99027,0.91554,0.77196
381.39106,0.94244,0.98997,0.92268,0.78026
381.47892,0.93436,0.98901,0.92949,0.78859
381.56682,0.92586,0.98739,0.93595,0.79696
381.65476,0.91697,0.9851,0.94202,0.80534
381.74274,0.90773,0.98215,0.94768,0.81372
381.83076,0.89817,0.97856,0.9529,0.82208
381.91882,0.88833,0.97434,0.95765,0.83039
382.00692,0.87823,0.9695,0.9619,0.83864
382.09506,0.86792,0.96407,0.96562,0.8468
382.18324,0.85742,0.95807,0.96879,0.85485
382.27147,0.84676,0.95153,0.97139,0.86276
382.35973,0.83598,0.94447,0.97341,0.87051
382.44804,0.82511,0.93692,0.97481,0.87807
382.53638,0.81417,0.92892,0.9756,0.8854
382.62477,0.80319,0.9205,0.97576,0.89249
382.7132,0.79219,0.91169,0.97529,0.8993
382.80166,0.7812,0.90253,0.97417,0.9058
382.89017,0.77025,0.89305,0.97242,0.91195
382.97872,0.75934,0.88329,0.97003,0.91774
383.06731,0.74851,0.87328,0.96702,0.92312
383.15595,0.73777,0.86306,0.96339,0.92807
383.24462,0.72713,0.85267,0.95916,0.93257
383.33333,0.71662,0.84212,0.95435,0.93657
383.42209,0.70624,0.83147,0.94897,0.94007
383.51088,0.696,0.82073,0.94306,0.94303
383.59972,0.68592,0.80993,0.93663,0.94544
383.6886,0.67601,0.79911,0.92972,0.94727
383.77752,0.66628,0.78829,0.92235,0.94852
383.86648,0.65672,0.77749,0.91456,0.94916
383.95548,0.64736,0.76673,0.90638,0.94919
384.04453,0.63819,0.75605,0.89784,0.94861
384.13361,0.62921,0.74544,0.88898,0.9474
384.22274,0.62044,0.73495,0.87983,0.94558
384.31191,0.61188,0.72457,0.87042,0.94315
384.40111,0.60352,0.71433,0.8608,0.94012
384.49036,0.59538,0.70423,0.85099,0.93649
384.57966,0.58744,0.6943,0.84103,0.93229
384.66899,0.57971,0.68453,0.83095,0.92754
384.75836,0.5722,0.67495,0.82077,0.92225
384.84778,0.5649,0.66555,0.81054,0.91645
384.93724,0.5578,0.65635,0.80027,0.91018
385.02674,0.55092,0.64734,0.78999,0.90344
385.11628,0.54425,0.63855,0.77974,0.89629
385.20586,0.53778,0.62996,0.76952,0.88875
385.29549,0.53152,0.62158,0.75937,0.88085
385.38515,0.52546,0.61342,0.7493,0.87263
385.47486,0.5196,0.60547,0.73933,0.86412
385.56461,0.51395,0.59775,0.72948,0.85536
385.6544,0.50849,0.59024,0.71977,0.84638
385.74423,0.50323,0.58295,0.7102,0.83721
385.83411,0.49816,0.57588,0.70079,0.82789
385.92403,0.49329,0.56903,0.69155,0.81846
386.01399,0.4886,0.5624,0.68249,0.80893
386.10399,0.48411,0.55599,0.67363,0.79935
386.19403,0.4798,0.54979,0.66496,0.78974
386.28411,0.47567,0.5438,0.65649,0.78013
386.37424,0.47173,0.53803,0.64823,0.77053
386.46441,0.46797,0.53248,0.64019,0.76099
386.55462,0.46439,0.52713,0.63236,0.75151
386.64488,0.46099,0.52199,0.62476,0.74212
386.73517,0.45777,0.51705,0.61737,0.73284
386.82551,0.45472,0.51233,0.61022,0.72368
386.91589,0.45185,0.5078,0.60328,0.71466
387.00631,0.44915,0.50348,0.59658,0.7058
387.09677,0.44663,0.49935,0.5901,0.6971
387.18728,0.44428,0.49543,0.58385,0.68858
387.27783,0.44211,0.4917,0.57782,0.68026
387.36842,0.44011,0.48817,0.57202,0.67212
387.45905,0.43829,0.48483,0.56645,0.6642
387.54973,0.43664,0.48169,0.5611,0.65648
387.64045,0.43517,0.47874,0.55598,0.64898
387.73121,0.43387,0.47598,0.55108,0.64171
387.82201,0.43276,0.47341,0.5464,0.63466
387.91286,0.43182,0.47104,0.54194,0.62784
388.00375,0.43107,0.46886,0.5377,0.62126
388.09468,0.4305,0.46687,0.53368,0.6149
388.18565,0.43012,0.46508,0.52988,0.60879
388.27667,0.42992,0.46348,0.52629,0.60291
388.36773,0.42992,0.46207,0.52292,0.59727
388.45883,0.43012,0.46086,0.51977,0.59187
388.54998,0.43052,0.45985,0.51682,0.58671
388.64116,0.43112,0.45904,0.5141,0.58179
388.73239,0.43194,0.45843,0.51159,0.57711
388.82367,0.43296,0.45803,0.50929,0.57267
388.91498,0.43421,0.45783,0.5072,0.56847
389.00634,0.43569,0.45785,0.50533,0.5645
389.09774,0.4374,0.45808,0.50368,0.56078
389.18919,0.43935,0.45853,0.50225,0.55729
389.28068,0.44155,0.4592,0.50103,0.55404
389.37221,0.444,0.4601,0.50003,0.55104
389.46378,0.44672,0.46124,0.49926,0.54826
389.5554,0.44972,0.46261,0.4987,0.54573
389.64706,0.453,0.46423,0.49838,0.54344
389.73876,0.45657,0.46611,0.49829,0.54138
389.83051,0.46045,0.46824,0.49843,0.53957
389.9223,0.46465,0.47064,0.49881,0.538
390.01413,0.46918,0.47332,0.49943,0.53667
390.10601,0.47405,0.47628,0.5003,0.53559
390.19793,0.47927,0.47954,0.50142,0.53476
390.28989,0.48487,0.4831,0.5028,0.53417
390.3819,0.49086,0.48697,0.50444,0.53383
390.47394,0.49724,0.49118,0.50636,0.53375
390.56604,0.50404,0.49571,0.50857,0.53393
390.65817,0.51127,0.5006,0.51106,0.53437
390.75035,0.51895,0.50585,0.51385,0.53505
390.84258,0.52709,0.51147,0.51696,0.53605
390.93484,0.53572,0.51749,0.52038,0.53731
391.02715,0.54484,0.5239,0.52414,0.53885
391.11951,0.55448,0.53073,0.52825,0.54067
391.21191,0.56465,0.53799,0.53271,0.54278
391.30435,0.57535,0.5457,0.53755,0.54519
391.39683,0.58661,0.55386,0.54277,0.54791
391.48936,0.59844,0.5625,0.54839,0.55094
391.58193,0.61084,0.57162,0.55441,0.5543
391.67455,0.62381,0.58125,0.56085,0.55798
391.76721,0.63737,0.59138,0.56771,0.56201
