Wavelength (nm),0.5 nm,1 nm,2 nm,3 nm,4 nm,5 nm ,10 nm
366.29064,0.39808,0.41348,0.44062,0.47827,0.54916,0.7004,0.82697
366.37168,0.39761,0.41269,0.43946,0.47673,0.54702,0.69751,0.82591
366.45276,0.39716,0.41192,0.43832,0.4752,0.54491,0.69463,0.82482
366.53386,0.39674,0.41117,0.4372,0.4737,0.54281,0.69176,0.82371
366.61501,0.39634,0.41044,0.4361,0.47223,0.54074,0.68889,0.82257
366.69619,0.39596,0.40973,0.43503,0.47078,0.5387,0.68604,0.82141
366.77741,0.39561,0.40905,0.43398,0.46935,0.53668,0.68319,0.82022
366.85866,0.39527,0.40838,0.43295,0.46795,0.53468,0.68035,0.81902
366.93995,0.39496,0.40774,0.43195,0.46657,0.53271,0.67752,0.8178
367.02128,0.39468,0.40713,0.43097,0.46521,0.53076,0.67471,0.81657
367.10264,0.39441,0.40653,0.43001,0.46388,0.52883,0.67191,0.81532
367.18404,0.39417,0.40595,0.42907,0.46257,0.52693,0.66912,0.81405
367.26547,0.39395,0.4054,0.42816,0.46128,0.52505,0.66634,0.81278
367.34694,0.39375,0.40487,0.42727,0.46002,0.52319,0.66358,0.8115
367.42844,0.39358,0.40436,0.4264,0.45878,0.52136,0.66083,0.81021
367.50999,0.39343,0.40387,0.42555,0.45756,0.51955,0.6581,0.80891
367.59156,0.39331,0.40341,0.42473,0.45637,0.51776,0.65538,0.8076
367.67318,0.39321,0.40297,0.42392,0.45519,0.516,0.65268,0.8063
367.75483,0.39313,0.40255,0.42314,0.45404,0.51426,0.65,0.80499
367.83652,0.39308,0.40215,0.42239,0.45292,0.51255,0.64733,0.80368
367.91824,0.39305,0.40177,0.42165,0.45182,0.51085,0.64468,0.80238
368,0.39304,0.40142,0.42094,0.45073,0.50918,0.64205,0.80108
368.0818,0.39306,0.40108,0.42024,0.44968,0.50754,0.63944,0.79978
368.16363,0.39311,0.40077,0.41957,0.44864,0.50591,0.63684,0.79849
368.2455,0.39318,0.40049,0.41893,0.44763,0.50431,0.63427,0.7972
368.3274,0.39327,0.40022,0.4183,0.44664,0.50273,0.63171,0.79593
368.40934,0.3934,0.39998,0.4177,0.44567,0.50118,0.62917,0.79467
368.49132,0.39354,0.39976,0.41712,0.44472,0.49964,0.62666,0.79341
368.57334,0.39371,0.39957,0.41656,0.4438,0.49813,0.62416,0.79218
368.65539,0.39391,0.3994,0.41603,0.4429,0.49665,0.62169,0.79096
368.73747,0.39414,0.39925,0.41551,0.44202,0.49518,0.61923,0.78975
368.8196,0.39439,0.39912,0.41502,0.44116,0.49374,0.6168,0.78856
368.90176,0.39467,0.39902,0.41455,0.44033,0.49232,0.61438,0.7874
368.98396,0.39498,0.39894,0.41411,0.43952,0.49092,0.61199,0.78625
369.06619,0.39531,0.39889,0.41369,0.43873,0.48955,0.60962,0.78513
369.14846,0.39567,0.39886,0.41329,0.43796,0.4882,0.60727,0.78403
369.23077,0.39607,0.39885,0.41291,0.43722,0.48687,0.60495,0.78295
369.31311,0.39649,0.39887,0.41256,0.4365,0.48556,0.60265,0.7819
369.39549,0.39694,0.39892,0.41223,0.4358,0.48428,0.60036,0.78088
369.47791,0.39741,0.39898,0.41192,0.43512,0.48302,0.59811,0.77989
