Inputs,,,Output,,,,,
Wavelength (um),r1 (um),t1 (nm),Absorption,,,,,
370.88466,0.05,0.2,0.14814,,,,,
370.96774,0.05,0.2,0.14811,,,,,
371.05086,0.05,0.2,0.14807,,,,,
371.13402,0.05,0.2,0.14803,,,,,
371.21722,0.05,0.2,0.148,,,,,
371.30045,0.05,0.2,0.14797,,,,,
371.38372,0.05,0.2,0.14793,,,,,
371.46703,0.05,0.2,0.1479,,,,,
371.55037,0.05,0.2,0.14787,,,,,
371.63375,0.05,0.2,0.14784,,,,,
371.71717,0.05,0.2,0.14781,,,,,
371.80063,0.05,0.2,0.14778,,,,,
371.88412,0.05,0.2,0.14775,,,,,
371.96765,0.05,0.2,0.14773,,,,,
372.05122,0.05,0.2,0.1477,,,,,
372.13483,0.05,0.2,0.14767,,,,,
372.21848,0.05,0.2,0.14765,,,,,
372.30216,0.05,0.2,0.14762,,,,,
372.38588,0.05,0.2,0.1476,,,,,
372.46964,0.05,0.2,0.14758,,,,,
372.55343,0.05,0.2,0.14755,,,,,
372.63726,0.05,0.2,0.14753,,,,,
372.72113,0.05,0.2,0.14751,,,,,
372.80504,0.05,0.2,0.14749,,,,,
372.88899,0.05,0.2,0.14747,,,,,
372.97297,0.05,0.2,0.14745,,,,,
373.05699,0.05,0.2,0.14743,,,,,
373.14105,0.05,0.2,0.14742,,,,,
373.22515,0.05,0.2,0.1474,,,,,
373.30929,0.05,0.2,0.14738,,,,,
373.39346,0.05,0.2,0.14736,,,,,
373.47767,0.05,0.2,0.14735,,,,,
373.56192,0.05,0.2,0.14733,,,,,
373.64621,0.05,0.2,0.14732,,,,,
373.73053,0.05,0.2,0.1473,,,,,
373.8149,0.05,0.2,0.14729,,,,,
373.8993,0.05,0.2,0.14728,,,,,
373.98374,0.05,0.2,0.14726,,,,,
374.06822,0.05,0.2,0.14725,,,,,
374.15273,0.05,0.2,0.14724,,,,,
374.23729,0.05,0.2,0.14723,,,,,
374.32188,0.05,0.2,0.14722,,,,,
374.40651,0.05,0.2,0.14721,,,,,
374.49118,0.05,0.2,0.1472,,,,,
374.57589,0.05,0.2,0.14719,,,,,
374.66063,0.05,0.2,0.14718,,,,,
374.74542,0.05,0.2,0.14717,,,,,
374.83024,0.05,0.2,0.14717,,,,,
374.9151,0.05,0.2,0.14716,,,,,
375,0.05,0.2,0.14715,,,,,
375.08494,0.05,0.2,0.14715,,,,,
375.16991,0.05,0.2,0.14714,,,,,
375.25493,0.05,0.2,0.14713,,,,,
375.33998,0.05,0.2,0.14713,,,,,
375.42507,0.05,0.2,0.14712,,,,,
375.5102,0.05,0.2,0.14712,,,,,
375.59537,0.05,0.2,0.14712,,,,,
375.68058,0.05,0.2,0.14711,,,,,
375.76583,0.05,0.2,0.14711,,,,,
375.85111,0.05,0.2,0.14711,,,,,
375.93644,0.05,0.2,0.14711,,,,,
